PROV,CABANG,n,CSI,Loyalty,pct_promoter,pct_passive,pct_detractor,NPS,touch_operasional,touch_parkir,touch_banking_hall,touch_toilet
Bali,Denpasar 1,18,6,5.5,94.44,5.56,0,94.44,5.72,5.83,5.83,5.94
Bali,Denpasar 2,9,6,6,100,0,0,100,5.67,5.78,5.67,5.78
Banten,Cilegon 1,9,5.89,5,88.89,0,11.11,77.78,6,5.88,6,6
Banten,Cilegon 2,18,6,5.5,94.44,5.56,0,94.44,6,6,6,5.94
Banten,Lebak 1,18,6,5,100,0,0,100,6,6,6,6
Banten,Lebak 2,9,5.44,,66.67,11.11,22.22,44.44,5.56,5.22,5.33,5.22
Banten,Pandeglang 1,18,6,5.5,94.44,5.56,0,94.44,6,5.89,5.94,5.94
Banten,Pandeglang 2,9,6,4.67,88.89,11.11,0,88.89,5.89,5.44,5.78,5.67
Banten,Pandeglang 3,18,6,3.6,100,0,0,100,6,5.83,5.83,5.94
Banten,Pandeglang 4,9,5.89,6,88.89,11.11,0,88.89,5.89,5.33,5.89,5.89
Banten,Serang 1,18,6,5.29,88.89,11.11,0,88.89,5.83,6,5.94,5.94
Banten,Serang 2,9,5.89,5.5,77.78,22.22,0,77.78,5.78,5.56,5.89,5.78
Banten,Tangerang 1,18,5.94,5,88.89,11.11,0,88.89,5.89,5.94,5.94,6
Banten,Tangerang 2,9,5.89,6,55.56,44.44,0,55.56,5.33,5.11,5.44,5.44
Banten,Tangerang 3,9,5.33,5.33,22.22,66.67,11.11,11.11,5.11,5.11,5.11,5.33
Banten,Tangerang 4,18,5.94,5,94.44,0,5.56,88.89,5.94,5.89,5.94,6
Banten,Tangerang Selatan 1,9,6,6,55.56,44.44,0,55.56,5.78,5.78,5.78,5.78
Banten,Tangerang Selatan 2,18,6,5,88.89,11.11,0,88.89,6,5.94,5.94,6
DKI Jakarta,Jakarta Barat 1,9,5.56,5.2,55.56,44.44,0,55.56,5.44,5.33,5.22,5.33
DKI Jakarta,Jakarta Barat 2,9,5.67,5.43,66.67,33.33,0,66.67,5.67,5.78,5.89,6
DKI Jakarta,Jakarta Barat 3,18,5.83,6,77.78,22.22,0,77.78,6,5.94,6,5.94
DKI Jakarta,Jakarta Barat 4,9,5.44,5.2,22.22,77.78,0,22.22,5.22,5.11,5.56,5.67
DKI Jakarta,Jakarta Barat 5,18,6,6,77.78,22.22,0,77.78,5.83,5.89,5.94,5.94
DKI Jakarta,Jakarta Barat 6,18,5.11,5.08,16.67,83.33,0,16.67,5.11,5,5.17,5.17
DKI Jakarta,Jakarta Pusat 1,18,5.72,5.4,44.44,50,5.56,38.89,5.17,5.33,5.33,5.61
DKI Jakarta,Jakarta Selatan 1,10,6,4,100,0,0,100,6,6,6,6
DKI Jakarta,Jakarta Selatan 2,18,5.67,5.75,61.11,38.89,0,61.11,5.78,5.61,5.83,5.61
DKI Jakarta,Jakarta Selatan 3,9,6,,88.89,11.11,0,88.89,6,6,6,6
